time,simulation,state,bias,estimate,method,truth
365,1,1,-0.03127155410901272,0.5487864458909872,Aalen-Johansen,0.580058
365,1,2,-0.009670232876216878,0.26534476712378313,Aalen-Johansen,0.275015
365,1,3,0.040941786985229156,0.18586878698522916,Aalen-Johansen,0.144927
730,1,1,-0.004934980796318544,0.42622901920368145,Aalen-Johansen,0.431164
730,1,2,-0.008050239071522969,0.283380760928477,Aalen-Johansen,0.291431
730,1,3,0.012985219867840958,0.29039021986784097,Aalen-Johansen,0.277405
1095,1,1,-0.03412432231964174,0.29859167768035827,Aalen-Johansen,0.332716
1095,1,2,0.019567001199625955,0.30720600119962593,Aalen-Johansen,0.287639
1095,1,3,0.014557321120015176,0.3942023211200152,Aalen-Johansen,0.379645
1460,1,1,-0.04939602027583703,0.20696397972416294,Aalen-Johansen,0.25636
1460,1,2,0.032099077609773374,0.30945907760977337,Aalen-Johansen,0.27736
1460,1,3,0.017296942666063075,0.4835769426660631,Aalen-Johansen,0.46628000000000003
1825,1,1,-0.06526978222810068,0.13266921777189933,Aalen-Johansen,0.197939
1825,1,2,-0.005312459472874065,0.2540595405271259,Aalen-Johansen,0.259372
1825,1,3,0.07058224170097416,0.6132712417009741,Aalen-Johansen,0.542689
365,2,1,0.018858367350078842,0.5989163673500788,Aalen-Johansen,0.580058
365,2,2,0.013874832323247599,0.2888898323232476,Aalen-Johansen,0.275015
365,2,3,-0.03273319967332623,0.11219380032667377,Aalen-Johansen,0.144927
730,2,1,-0.0026095017375522556,0.42855449826244774,Aalen-Johansen,0.431164
730,2,2,0.00666612073903905,0.29809712073903905,Aalen-Johansen,0.291431
730,2,3,-0.00405661900148635,0.27334838099851366,Aalen-Johansen,0.277405
1095,2,1,0.002224113575453268,0.3349401135754533,Aalen-Johansen,0.332716
1095,2,2,0.01236997150166147,0.30000897150166145,Aalen-Johansen,0.287639
1095,2,3,-0.014594085077114294,0.3650509149228857,Aalen-Johansen,0.379645
1460,2,1,0.008773679182930816,0.2651336791829308,Aalen-Johansen,0.25636
1460,2,2,0.010335596185863771,0.28769559618586377,Aalen-Johansen,0.27736
1460,2,3,-0.019109275368794143,0.4471707246312059,Aalen-Johansen,0.46628000000000003
1825,2,1,0.025951662421141525,0.22389066242114153,Aalen-Johansen,0.197939
1825,2,2,-0.002093931276557104,0.2572780687234429,Aalen-Johansen,0.259372
1825,2,3,-0.023857731144583894,0.5188312688554161,Aalen-Johansen,0.542689
365,3,1,0.01877627731431708,0.598834277314317,Aalen-Johansen,0.580058
365,3,2,0.0056979859423434975,0.2807129859423435,Aalen-Johansen,0.275015
365,3,3,-0.024474263256659523,0.12045273674334048,Aalen-Johansen,0.144927
730,3,1,-0.012364539912980588,0.4187994600870194,Aalen-Johansen,0.431164
730,3,2,0.03316456892555375,0.32459556892555375,Aalen-Johansen,0.291431
730,3,3,-0.020800029012572052,0.25660497098742796,Aalen-Johansen,0.277405
1095,3,1,-0.057567469078538935,0.2751485309214611,Aalen-Johansen,0.332716
1095,3,2,0.08512384012333718,0.37276284012333716,Aalen-Johansen,0.287639
1095,3,3,-0.027556371044797134,0.3520886289552029,Aalen-Johansen,0.379645
1460,3,1,-0.034121821543188324,0.22223817845681165,Aalen-Johansen,0.25636
1460,3,2,0.0380255472328927,0.3153855472328927,Aalen-Johansen,0.27736
1460,3,3,-0.003903725689703319,0.4623762743102967,Aalen-Johansen,0.46628000000000003
1825,3,1,-0.01693052885870544,0.18100847114129456,Aalen-Johansen,0.197939
1825,3,2,0.02753339116709641,0.2869053911670964,Aalen-Johansen,0.259372
1825,3,3,-0.010602862308389915,0.5320861376916101,Aalen-Johansen,0.542689
365,4,1,-0.033743090818766364,0.5463149091812336,Aalen-Johansen,0.580058
365,4,2,0.031184335238973127,0.30619933523897314,Aalen-Johansen,0.275015
365,4,3,0.0025587555797928763,0.14748575557979288,Aalen-Johansen,0.144927
730,4,1,-0.018318223141114753,0.41284577685888524,Aalen-Johansen,0.431164
730,4,2,0.027104144065949798,0.3185351440659498,Aalen-Johansen,0.291431
730,4,3,-0.008785920924835378,0.26861907907516464,Aalen-Johansen,0.277405
1095,4,1,-0.03631562901776725,0.29640037098223276,Aalen-Johansen,0.332716
1095,4,2,0.0031755904554626735,0.29081459045546265,Aalen-Johansen,0.287639
1095,4,3,0.03314003856230441,0.4127850385623044,Aalen-Johansen,0.379645
1460,4,1,-0.020469752894895415,0.23589024710510456,Aalen-Johansen,0.25636
1460,4,2,-0.03697866194159308,0.24038133805840692,Aalen-Johansen,0.27736
1460,4,3,0.05744841483648844,0.5237284148364885,Aalen-Johansen,0.46628000000000003
1825,4,1,-0.038800894330980606,0.1591381056690194,Aalen-Johansen,0.197939
1825,4,2,-0.07184196778632468,0.1875300322136753,Aalen-Johansen,0.259372
1825,4,3,0.11064286211730545,0.6533318621173054,Aalen-Johansen,0.542689
365,5,1,0.02080164398123374,0.6008596439812337,Aalen-Johansen,0.580058
365,5,2,-0.02736954918615178,0.24764545081384823,Aalen-Johansen,0.275015
365,5,3,0.006567905204919039,0.15149490520491904,Aalen-Johansen,0.144927
730,5,1,0.03140316149272848,0.4625671614927285,Aalen-Johansen,0.431164
730,5,2,0.005009947141497939,0.29644094714149793,Aalen-Johansen,0.291431
730,5,3,-0.03641310863422528,0.24099189136577473,Aalen-Johansen,0.277405
1095,5,1,-0.020465579914077936,0.3122504200859221,Aalen-Johansen,0.332716
1095,5,2,0.05645619861476764,0.3440951986147676,Aalen-Johansen,0.287639
1095,5,3,-0.03599061870068854,0.3436543812993115,Aalen-Johansen,0.379645
1460,5,1,-0.02289236023887478,0.2334676397611252,Aalen-Johansen,0.25636
1460,5,2,0.012165773584659811,0.2895257735846598,Aalen-Johansen,0.27736
1460,5,3,0.010726586654216108,0.47700658665421614,Aalen-Johansen,0.46628000000000003
1825,5,1,-0.01336223068296924,0.18457676931703076,Aalen-Johansen,0.197939
1825,5,2,-0.08056011192936854,0.17881188807063145,Aalen-Johansen,0.259372
1825,5,3,0.09392234261233878,0.6366113426123388,Aalen-Johansen,0.542689
365,6,1,-0.013290238420124001,0.566767761579876,Aalen-Johansen,0.580058
365,6,2,-0.0044611014775975955,0.2705538985224024,Aalen-Johansen,0.275015
365,6,3,0.01775133989772157,0.16267833989772157,Aalen-Johansen,0.144927
730,6,1,-0.013677600658897615,0.4174863993411024,Aalen-Johansen,0.431164
730,6,2,-0.04686166440066955,0.24456933559933045,Aalen-Johansen,0.291431
730,6,3,0.060539265059567304,0.3379442650595673,Aalen-Johansen,0.277405
1095,6,1,-0.06129260621186888,0.27142339378813113,Aalen-Johansen,0.332716
1095,6,2,-0.0367179584741254,0.2509210415258746,Aalen-Johansen,0.287639
1095,6,3,0.09801056468599462,0.4776555646859946,Aalen-Johansen,0.379645
1460,6,1,-0.03832805316526805,0.21803194683473193,Aalen-Johansen,0.25636
1460,6,2,-0.023642220315375884,0.2537177796846241,Aalen-Johansen,0.27736
1460,6,3,0.06197027348064421,0.5282502734806442,Aalen-Johansen,0.46628000000000003
1825,6,1,-0.06968491362662824,0.12825408637337177,Aalen-Johansen,0.197939
1825,6,2,-0.013441010091821276,0.24593098990817872,Aalen-Johansen,0.259372
1825,6,3,0.08312592371844985,0.6258149237184498,Aalen-Johansen,0.542689
365,7,1,0.03308155341661545,0.6131395534166154,Aalen-Johansen,0.580058
365,7,2,-0.021432877509128312,0.2535821224908717,Aalen-Johansen,0.275015
365,7,3,-0.011648675907487388,0.1332783240925126,Aalen-Johansen,0.144927
730,7,1,0.031553115227905215,0.4627171152279052,Aalen-Johansen,0.431164
730,7,2,-0.009629819371512194,0.2818011806284878,Aalen-Johansen,0.291431
730,7,3,-0.02192329585639341,0.2554817041436066,Aalen-Johansen,0.277405
1095,7,1,0.011813173738161875,0.3445291737381619,Aalen-Johansen,0.332716
1095,7,2,0.0069909602485083155,0.2946299602485083,Aalen-Johansen,0.287639
