time,simulation,state,bias,estimate,method,truth
365,1,1,-0.0033443350961487317,0.5207246649038513,Aalen-Johansen,0.524069
365,1,2,0.027660189270487606,0.2254851892704876,Aalen-Johansen,0.197825
365,1,3,-0.02431585417433757,0.2537901458256624,Aalen-Johansen,0.27810599999999996
730,1,1,0.021594429143734106,0.2460074291437341,Aalen-Johansen,0.224413
730,1,2,-0.008913057799935842,0.17817094220006416,Aalen-Johansen,0.187084
730,1,3,-0.012681371343796655,0.5758216286562033,Aalen-Johansen,0.588503
1095,1,1,-0.0092566699877695,0.0892683300122305,Aalen-Johansen,0.098525
1095,1,2,-0.009522682452661607,0.12154831754733839,Aalen-Johansen,0.131071
1095,1,3,0.018779352440432606,0.7891833524404326,Aalen-Johansen,0.770404
1460,1,1,-4.81852872061074e-4,0.043195147127938927,Aalen-Johansen,0.043677
1460,1,2,-0.01288649521738898,0.06890650478261102,Aalen-Johansen,0.081793
1460,1,3,0.013368348089451199,0.8878983480894512,Aalen-Johansen,0.87453
1825,1,1,-0.01264059274954786,0.006645407250452141,Aalen-Johansen,0.019286
1825,1,2,-0.009913771934158197,0.0379572280658418,Aalen-Johansen,0.047871
1825,1,3,0.022554364683706418,0.9553973646837065,Aalen-Johansen,0.9328430000000001
365,2,1,-0.0010314654940138945,0.5230375345059861,Aalen-Johansen,0.524069
365,2,2,-0.005953780001502262,0.19187121999849774,Aalen-Johansen,0.197825
365,2,3,0.006985245495515768,0.28509124549551573,Aalen-Johansen,0.27810599999999996
730,2,1,-0.0151068867945931,0.2093061132054069,Aalen-Johansen,0.224413
730,2,2,0.01324907735344516,0.20033307735344516,Aalen-Johansen,0.187084
730,2,3,0.001857809441147884,0.5903608094411479,Aalen-Johansen,0.588503
1095,2,1,0.0018730629174728425,0.10039806291747284,Aalen-Johansen,0.098525
1095,2,2,-0.0046123491518768045,0.1264586508481232,Aalen-Johansen,0.131071
1095,2,3,0.0027392862344041147,0.7731432862344041,Aalen-Johansen,0.770404
1460,2,1,0.007147252173436813,0.050824252173436814,Aalen-Johansen,0.043677
1460,2,2,-0.010103722781728164,0.07168927721827184,Aalen-Johansen,0.081793
1460,2,3,0.002956470608291517,0.8774864706082915,Aalen-Johansen,0.87453
1825,2,1,0.002949610325878614,0.022235610325878615,Aalen-Johansen,0.019286
1825,2,2,0.0010057671066590057,0.048876767106659,Aalen-Johansen,0.047871
1825,2,3,-0.003955377432537488,0.9288876225674626,Aalen-Johansen,0.9328430000000001
365,3,1,0.0022610588303544343,0.5263300588303544,Aalen-Johansen,0.524069
365,3,2,-0.005502229981076023,0.19232277001892398,Aalen-Johansen,0.197825
365,3,3,0.003241171150719868,0.28134717115071983,Aalen-Johansen,0.27810599999999996
730,3,1,0.017545024712384893,0.2419580247123849,Aalen-Johansen,0.224413
730,3,2,0.03262673901278479,0.2197107390127848,Aalen-Johansen,0.187084
730,3,3,-0.05017176372517118,0.5383312362748288,Aalen-Johansen,0.588503
1095,3,1,0.027713149900322892,0.1262381499003229,Aalen-Johansen,0.098525
1095,3,2,-0.0011388294555886025,0.1299321705444114,Aalen-Johansen,0.131071
1095,3,3,-0.026574320444736732,0.7438296795552632,Aalen-Johansen,0.770404
1460,3,1,0.004312692839258399,0.0479896928392584,Aalen-Johansen,0.043677
1460,3,2,0.01184651559174045,0.09363951559174045,Aalen-Johansen,0.081793
1460,3,3,-0.016159208431001826,0.8583707915689982,Aalen-Johansen,0.87453
1825,3,1,-0.006488748576197755,0.012797251423802246,Aalen-Johansen,0.019286
1825,3,2,0.002160863150141072,0.05003186315014107,Aalen-Johansen,0.047871
1825,3,3,0.004327885426053113,0.9371708854260532,Aalen-Johansen,0.9328430000000001
365,4,1,-0.01909408379509414,0.5049749162049059,Aalen-Johansen,0.524069
365,4,2,-0.01840687068034258,0.17941812931965742,Aalen-Johansen,0.197825
365,4,3,0.037500954475436776,0.31560695447543674,Aalen-Johansen,0.27810599999999996
730,4,1,-0.041582163135003736,0.18283083686499627,Aalen-Johansen,0.224413
730,4,2,0.005539827674274411,0.1926238276742744,Aalen-Johansen,0.187084
730,4,3,0.03604233546072988,0.6245453354607299,Aalen-Johansen,0.588503
1095,4,1,-0.022894185498039343,0.07563081450196066,Aalen-Johansen,0.098525
1095,4,2,-0.021711744413809464,0.10935925558619053,Aalen-Johansen,0.131071
1095,4,3,0.04460592991184886,0.8150099299118488,Aalen-Johansen,0.770404
1460,4,1,-0.018466728499346444,0.025210271500653556,Aalen-Johansen,0.043677
1460,4,2,-0.024292955483715316,0.05750004451628469,Aalen-Johansen,0.081793
1460,4,3,0.04275968398306096,0.917289683983061,Aalen-Johansen,0.87453
1825,4,1,-0.006680864249673221,0.01260513575032678,Aalen-Johansen,0.019286
1825,4,2,-0.009121772724606549,0.03874922727539345,Aalen-Johansen,0.047871
1825,4,3,0.01580263697427886,0.948645636974279,Aalen-Johansen,0.9328430000000001
365,5,1,-0.03166069593924031,0.4924083040607597,Aalen-Johansen,0.524069
365,5,2,-0.0071705025424504965,0.1906544974575495,Aalen-Johansen,0.197825
365,5,3,0.03883119848168998,0.31693719848168994,Aalen-Johansen,0.27810599999999996
730,5,1,-0.010876966091215301,0.2135360339087847,Aalen-Johansen,0.224413
730,5,2,-0.01882517619862875,0.16825882380137125,Aalen-Johansen,0.187084
730,5,3,0.029702142289843247,0.6182051422898432,Aalen-Johansen,0.588503
1095,5,1,0.0224671547108318,0.1209921547108318,Aalen-Johansen,0.098525
1095,5,2,-0.023983313624437452,0.10708768637556254,Aalen-Johansen,0.131071
1095,5,3,0.0015161589136051257,0.7719201589136051,Aalen-Johansen,0.770404
