time,simulation,method,state,bias,estimate,truth
365,1,Aalen-Johansen,1,0.02513827272727276,0.9577272727272728,0.932589
365,1,Aalen-Johansen,2,-0.023496272727272685,0.04227272727272731,0.065769
365,1,Aalen-Johansen,3,-0.001642,0,0.001642
730,1,Aalen-Johansen,1,0.02840612058080827,0.9020261205808082,0.87362
730,1,Aalen-Johansen,2,-0.02108112058080812,0.09797387941919188,0.119055
730,1,Aalen-Johansen,3,-0.007325,0,0.007325
1095,1,Aalen-Johansen,1,-0.005748820960387535,0.8045171790396125,0.810266
1095,1,Aalen-Johansen,2,0.02166782096038755,0.19548282096038755,0.173815
1095,1,Aalen-Johansen,3,-0.015919,0,0.015919
1460,1,Aalen-Johansen,1,0.003664780204078455,0.7598217802040784,0.756157
1460,1,Aalen-Johansen,2,0.015802219795921613,0.2401782197959216,0.224376
1460,1,Aalen-Johansen,3,-0.019467,0,0.019467
1825,1,Aalen-Johansen,1,0.0537887802040784,0.7598217802040784,0.706033
1825,1,Aalen-Johansen,2,-0.03115978020407842,0.2401782197959216,0.271338
1825,1,Aalen-Johansen,3,-0.022629,0,0.022629
365,2,Aalen-Johansen,1,0.002070090909090827,0.9346590909090908,0.932589
365,2,Aalen-Johansen,2,-4.2809090909090575e-4,0.06534090909090909,0.065769
365,2,Aalen-Johansen,3,-0.001642,0,0.001642
730,2,Aalen-Johansen,1,-0.042312635489510586,0.8313073645104894,0.87362
730,2,Aalen-Johansen,2,0.049637635489510445,0.16869263548951044,0.119055
730,2,Aalen-Johansen,3,-0.007325,0,0.007325
1095,2,Aalen-Johansen,1,-0.04977370728114494,0.7604922927188551,0.810266
1095,2,Aalen-Johansen,2,0.06569270728114468,0.23950770728114468,0.173815
1095,2,Aalen-Johansen,3,-0.015919,0,0.015919
1460,2,Aalen-Johansen,1,-0.049985585332491644,0.7061714146675083,0.756157
1460,2,Aalen-Johansen,2,0.06945258533249152,0.2938285853324915,0.224376
1460,2,Aalen-Johansen,3,-0.019467,0,0.019467
1825,2,Aalen-Johansen,1,-0.054182463383838475,0.6518505366161615,0.706033
1825,2,Aalen-Johansen,2,0.07681146338383826,0.3481494633838383,0.271338
1825,2,Aalen-Johansen,3,-0.022629,0,0.022629
365,3,Aalen-Johansen,1,-0.020125423112870355,0.9124635768871296,0.932589
365,3,Aalen-Johansen,2,0.02176742311287036,0.08753642311287035,0.065769
365,3,Aalen-Johansen,3,-0.001642,0,0.001642
730,3,Aalen-Johansen,1,0.013497366418042667,0.8871173664180426,0.87362
730,3,Aalen-Johansen,2,-0.006172366418042613,0.11288263358195738,0.119055
730,3,Aalen-Johansen,3,-0.007325,0,0.007325
1095,3,Aalen-Johansen,1,0.07685136641804258,0.8871173664180426,0.810266
1095,3,Aalen-Johansen,2,-0.060932366418042616,0.11288263358195738,0.173815
1095,3,Aalen-Johansen,3,-0.015919,0,0.015919
