time,method,cancer_type,sample_size,n_imps,coverage,undefined_region_pct
365,MSMI-Cox,MESO,50,10,0.947261663286004,1.4000000000000001
730,MSMI-Cox,MESO,50,10,0.9776876267748479,1.4000000000000001
1095,MSMI-Cox,MESO,50,10,0.9547325102880658,2.8000000000000003
1460,MSMI-Cox,MESO,50,10,0.9521276595744681,24.8
1825,MSMI-Cox,MESO,50,10,0.8936170212765957,62.4
365,MSMI-Marginal,MESO,50,10,0.947261663286004,1.4000000000000001
730,MSMI-Marginal,MESO,50,10,0.9756592292089249,1.4000000000000001
1095,MSMI-Marginal,MESO,50,10,0.9588477366255144,2.8000000000000003
1460,MSMI-Marginal,MESO,50,10,0.9601063829787234,24.8
1825,MSMI-Marginal,MESO,50,10,0.9144385026737968,62.6
365,AJ,MESO,50,10,0.934,0
730,AJ,MESO,50,10,0.956,0
1095,AJ,MESO,50,10,0.937246963562753,1.2
1460,AJ,MESO,50,10,0.8926829268292683,18
1825,AJ,MESO,50,10,0.7276264591439688,48.6
