time,simulation,method,state,bias,estimate,truth
365,1,Aalen-Johansen,1,0.009813383713658475,0.5898713837136584,0.580058
365,1,Aalen-Johansen,2,-0.009658738744716289,0.2652982612552837,0.274957
365,1,Aalen-Johansen,3,-1.5464496894174173e-4,0.14483035503105826,0.144985
730,1,Aalen-Johansen,1,-0.0014308056737944996,0.4297331943262055,0.431164
730,1,Aalen-Johansen,2,0.016911316157271594,0.30829131615727157,0.29138
730,1,Aalen-Johansen,3,-0.015480510483477594,0.26197548951652244,0.27745600000000004
1095,1,Aalen-Johansen,1,-0.011341117415591295,0.3213748825844087,0.332716
1095,1,Aalen-Johansen,2,0.0248055923197239,0.3121825923197239,0.287377
1095,1,Aalen-Johansen,3,-0.013464474904133106,0.3664425250958669,0.379907
1460,1,Aalen-Johansen,1,-0.03635579147494969,0.2200042085250503,0.25636
1460,1,Aalen-Johansen,2,0.0412228629855767,0.3187198629855767,0.277497
1460,1,Aalen-Johansen,3,-0.00486707151062743,0.46127592848937254,0.466143
1825,1,Aalen-Johansen,1,-0.04964467301450973,0.14829432698549028,0.197939
1825,1,Aalen-Johansen,2,0.06532111268069163,0.3245021126806916,0.259181
1825,1,Aalen-Johansen,3,-0.015676439666182485,0.5272035603338175,0.54288
365,2,Aalen-Johansen,1,0.014610008108600026,0.5946680081086,0.580058
365,2,Aalen-Johansen,2,-0.020408686767899364,0.25454831323210064,0.274957
365,2,Aalen-Johansen,3,0.005798678659298562,0.15078367865929856,0.144985
730,2,Aalen-Johansen,1,-4.8837901042037e-4,0.4306756209895796,0.431164
730,2,Aalen-Johansen,2,-0.025991983200194413,0.26538801679980556,0.29138
730,2,Aalen-Johansen,3,0.026480362210614228,0.30393636221061426,0.27745600000000004
1095,2,Aalen-Johansen,1,0.017111288702690075,0.3498272887026901,0.332716
1095,2,Aalen-Johansen,2,-0.04184159493886802,0.24553540506113197,0.287377
1095,2,Aalen-Johansen,3,0.024730306236177446,0.40463730623617744,0.379907
1460,2,Aalen-Johansen,1,0.018843122084123365,0.27520312208412334,0.25636
1460,2,Aalen-Johansen,2,-0.05847881277210765,0.21901818722789235,0.277497
