time,method,cancer_type,sample_size,n_imps,coverage,undefined_region_pct
365,MSMI-Cox,LIHC,300,5,0.96,0
730,MSMI-Cox,LIHC,300,5,0.948,0
1095,MSMI-Cox,LIHC,300,5,0.938,0
1460,MSMI-Cox,LIHC,300,5,0.924,0
1825,MSMI-Cox,LIHC,300,5,0.84,0
365,MSMI-Marginal,LIHC,300,5,0.962,0
730,MSMI-Marginal,LIHC,300,5,0.954,0
1095,MSMI-Marginal,LIHC,300,5,0.942,0
1460,MSMI-Marginal,LIHC,300,5,0.922,0
1825,MSMI-Marginal,LIHC,300,5,0.842,0
365,AJ,LIHC,300,5,0.96,0
730,AJ,LIHC,300,5,0.948,0
1095,AJ,LIHC,300,5,0.954,0
1460,AJ,LIHC,300,5,0.956,0
1825,AJ,LIHC,300,5,0.942,0
