time,method,cancer_type,sample_size,n_imps,coverage,undefined_region_pct
365,MSMI-Cox,KIRC,100,30,0.97,0
730,MSMI-Cox,KIRC,100,30,0.958,0
1095,MSMI-Cox,KIRC,100,30,0.954,0
1460,MSMI-Cox,KIRC,100,30,0.9659318637274549,0.2
1825,MSMI-Cox,KIRC,100,30,0.9497991967871486,0.4
365,MSMI-Marginal,KIRC,100,30,0.968,0
730,MSMI-Marginal,KIRC,100,30,0.96,0
1095,MSMI-Marginal,KIRC,100,30,0.958,0
1460,MSMI-Marginal,KIRC,100,30,0.9639278557114228,0.2
1825,MSMI-Marginal,KIRC,100,30,0.9538152610441767,0.4
365,AJ,KIRC,100,30,0.96,0
730,AJ,KIRC,100,30,0.938,0
1095,AJ,KIRC,100,30,0.932,0
1460,AJ,KIRC,100,30,0.958,0
1825,AJ,KIRC,100,30,0.9636363636363636,1
