time,method,cancer_type,sample_size,n_imps,coverage,undefined_region_pct
365,MSMI-Cox,PRAD,300,10,0.8616071428571429,55.2
730,MSMI-Cox,PRAD,300,10,0.859375,10.4
1095,MSMI-Cox,PRAD,300,10,0.868421052631579,1.2
1460,MSMI-Cox,PRAD,300,10,0.8669354838709677,0.8
1825,MSMI-Cox,PRAD,300,10,0.8048289738430584,0.6
365,MSMI-Marginal,PRAD,300,10,0.8616071428571429,55.2
730,MSMI-Marginal,PRAD,300,10,0.8616071428571429,10.4
1095,MSMI-Marginal,PRAD,300,10,0.8663967611336032,1.2
1460,MSMI-Marginal,PRAD,300,10,0.8669354838709677,0.8
1825,MSMI-Marginal,PRAD,300,10,0.8028169014084507,0.6
365,AJ,PRAD,300,10,0.919431279620853,57.8
730,AJ,PRAD,300,10,0.9267734553775744,12.6
1095,AJ,PRAD,300,10,0.950920245398773,2.1999999999999997
1460,AJ,PRAD,300,10,0.9592668024439919,1.7999999999999998
1825,AJ,PRAD,300,10,0.9471544715447154,1.6
