time,simulation,method,state,bias,estimate,truth
365,1,AJ,1,-0.03418398610179407,0.5458740138982059,0.580058
365,1,AJ,2,0.014090792969626786,0.2714697929696268,0.257379
365,1,AJ,3,0.020093193132167037,0.18265619313216705,0.162563
730,1,AJ,1,0.005492992810853581,0.4366569928108536,0.431164
730,1,AJ,2,0.022359290632133377,0.2435092906321334,0.22115
730,1,AJ,3,-0.02785228344298729,0.3198337165570127,0.347686
1095,1,AJ,1,-0.02915766275181303,0.303558337248187,0.332716
1095,1,AJ,2,0.10833705290957873,0.26927005290957873,0.160933
1095,1,AJ,3,-0.07917939015776593,0.42717160984223407,0.506351
1460,1,AJ,1,-0.01489314082530574,0.24146685917469424,0.25636
1460,1,AJ,2,0.0663425702142979,0.1729435702142979,0.106601
1460,1,AJ,3,-0.05144942938899233,0.5855895706110077,0.637039
1825,1,AJ,1,-0.03696109388353719,0.16097790611646282,0.197939
1825,1,AJ,2,-0.005958162804441378,0.06671183719555862,0.07267
1825,1,AJ,3,0.04291925668797836,0.7723102566879784,0.729391
365,2,AJ,1,0.024839959183673543,0.6048979591836735,0.580058
365,2,AJ,2,-0.050098472086355234,0.2072805279136448,0.257379
365,2,AJ,3,0.025258512902681718,0.18782151290268173,0.162563
730,2,AJ,1,0.045732841499532384,0.4768968414995324,0.431164
730,2,AJ,2,-0.052665533014611854,0.16848446698538816,0.22115
730,2,AJ,3,0.006932691515079192,0.3546186915150792,0.347686
1095,2,AJ,1,0.07933094268705809,0.4120469426870581,0.332716
1095,2,AJ,2,-0.04573848470196838,0.11519451529803161,0.160933
1095,2,AJ,3,-0.03359245798508992,0.4727585420149101,0.506351
1460,2,AJ,1,0.07775227207927965,0.3341122720792796,0.25636
1460,2,AJ,2,-0.05230107323272638,0.05429992676727362,0.106601
1460,2,AJ,3,-0.025451198846553447,0.6115878011534466,0.637039
1825,2,AJ,1,-0.06181918544918236,0.13611981455081765,0.197939
1825,2,AJ,2,-0.032625963553606974,0.040044036446393025,0.07267
1825,2,AJ,3,0.09444514900278922,0.8238361490027892,0.729391
365,3,AJ,1,0.06708686336032366,0.6471448633603236,0.580058
365,3,AJ,2,-0.017852274291497966,0.23952672570850206,0.257379
365,3,AJ,3,-0.049234589068825954,0.11332841093117406,0.162563
730,3,AJ,1,0.04528528038188978,0.4764492803818898,0.431164
730,3,AJ,2,0.05756043940776062,0.27871043940776064,0.22115
730,3,AJ,3,-0.10284571978965062,0.24484028021034937,0.347686
1095,3,AJ,1,0.028230424531734744,0.36094642453173476,0.332716
1095,3,AJ,2,0.06907628953151435,0.23000928953151434,0.160933
1095,3,AJ,3,-0.09730671406324937,0.40904428593675063,0.506351
1460,3,AJ,1,0.08202727299850138,0.33838727299850135,0.25636
1460,3,AJ,2,0.04434259625505632,0.15094359625505632,0.106601
1460,3,AJ,3,-0.12636986925355798,0.510669130746442,0.637039
1825,3,AJ,1,0.027652515332334232,0.22559151533233424,0.197939
1825,3,AJ,2,-0.030818961822897922,0.041851038177102076,0.07267
1825,3,AJ,3,0.0031664464905634127,0.7325574464905634,0.729391
365,4,AJ,1,-0.047322940184133966,0.532735059815866,0.580058
365,4,AJ,2,-0.018411370089217782,0.23896762991078224,0.257379
365,4,AJ,3,0.06573431027335125,0.22829731027335126,0.162563
730,4,AJ,1,-0.1201438363251841,0.3110201636748159,0.431164
730,4,AJ,2,-0.002176029814725422,0.2189739701852746,0.22115
730,4,AJ,3,0.12231986613990914,0.47000586613990913,0.347686
1095,4,AJ,1,-0.08877861672563458,0.24393738327436543,0.332716
1095,4,AJ,2,0.002181631866915723,0.16311463186691572,0.160933
1095,4,AJ,3,0.08659698485871858,0.5929479848587186,0.506351
1460,4,AJ,1,-0.01242261672563455,0.24393738327436543,0.25636
1460,4,AJ,2,-0.004654355083177686,0.10194664491682232,0.106601
1460,4,AJ,3,0.01707697180881207,0.6541159718088121,0.637039
1825,4,AJ,1,0.04599838327436542,0.24393738327436543,0.197939
1825,4,AJ,2,0.029276644916822317,0.10194664491682232,0.07267
1825,4,AJ,3,-0.07527502819118792,0.6541159718088121,0.729391
365,5,AJ,1,0.024975657098952664,0.6050336570989526,0.580058
365,5,AJ,2,-0.06546825167382636,0.19191074832617366,0.257379
365,5,AJ,3,0.04049259457487325,0.20305559457487327,0.162563
730,5,AJ,1,0.010535917785352955,0.44169991778535295,0.431164
730,5,AJ,2,-0.0398200067652556,0.1813299932347444,0.22115
730,5,AJ,3,0.02928408897990198,0.376970088979902,0.347686
1095,5,AJ,1,-0.004611156764707858,0.32810484323529215,0.332716
1095,5,AJ,2,0.03403278965057502,0.194965789650575,0.160933
1095,5,AJ,3,-0.029421632885867743,0.47692936711413225,0.506351
1460,5,AJ,1,-0.020797548446456898,0.23556245155354308,0.25636
1460,5,AJ,2,0.007734600140835685,0.11433560014083569,0.106601
1460,5,AJ,3,0.013062948305620603,0.6501019483056206,0.637039
1825,5,AJ,1,0.011449845825371618,0.20938884582537162,0.197939
1825,5,AJ,2,-0.044086099964791084,0.028583900035208918,0.07267
1825,5,AJ,3,0.03263625413941895,0.762027254139419,0.729391
365,6,AJ,1,-0.005318653155627406,0.5747393468443726,0.580058
365,6,AJ,2,0.09029957251810161,0.34767857251810164,0.257379
365,6,AJ,3,-0.08498091936247386,0.07758208063752615,0.162563
730,6,AJ,1,-0.041196041039910314,0.3899679589600897,0.431164
730,6,AJ,2,0.13348341792172636,0.35463341792172637,0.22115
730,6,AJ,3,-0.09228737688181593,0.25539862311818406,0.347686
1095,6,AJ,1,-0.09637178244843048,0.23634421755156954,0.332716
1095,6,AJ,2,0.09309827450808783,0.2540312745080878,0.160933
1095,6,AJ,3,0.003273507940342868,0.5096245079403429,0.506351
1460,6,AJ,1,-0.02001578244843044,0.23634421755156954,0.25636
1460,6,AJ,2,0.07122089215566149,0.1778218921556615,0.106601
1460,6,AJ,3,-0.0512051097072308,0.5858338902927692,0.637039
1825,6,AJ,1,0.03840521755156953,0.23634421755156954,0.197939
1825,6,AJ,2,0.1051518921556615,0.1778218921556615,0.07267
1825,6,AJ,3,-0.1435571097072308,0.5858338902927692,0.729391
365,7,AJ,1,0.06555178863233002,0.64560978863233,0.580058
365,7,AJ,2,-0.013780810862667497,0.24359818913733253,0.257379
365,7,AJ,3,-0.05177097776966276,0.11079202223033725,0.162563
730,7,AJ,1,0.06452997964131535,0.49569397964131534,0.431164
730,7,AJ,2,-0.03747124274935015,0.18367875725064986,0.22115
730,7,AJ,3,-0.02705873689196564,0.32062726310803435,0.347686
1095,7,AJ,1,0.06472661539015945,0.39744261539015946,0.332716
1095,7,AJ,2,0.0133679417385702,0.1743009417385702,0.160933
1095,7,AJ,3,-0.07809455712873015,0.42825644287126985,0.506351
1460,7,AJ,1,0.10495146853650861,0.3613114685365086,0.25636
1460,7,AJ,2,-0.0276889667779171,0.0789120332220829,0.106601
1460,7,AJ,3,-0.07726250175859206,0.559776498241408,0.637039
1825,7,AJ,1,0.16337246853650858,0.3613114685365086,0.197939
1825,7,AJ,2,0.006242033222082902,0.0789120332220829,0.07267
1825,7,AJ,3,-0.16961450175859205,0.559776498241408,0.729391
365,8,AJ,1,0.024457167113479672,0.6045151671134796,0.580058
365,8,AJ,2,0.023945346109252197,0.2813243461092522,0.257379
365,8,AJ,3,-0.0484025132227317,0.11416048677726831,0.162563
730,8,AJ,1,0.06136400405013892,0.4925280040501389,0.431164
730,8,AJ,2,0.004401066910976331,0.22555106691097634,0.22115
