time,simulation,method,state,bias,estimate,truth
365,1,Aalen-Johansen,1,-0.021095096357578447,0.9114939036424216,0.932589
365,1,Aalen-Johansen,2,0.022737096357578993,0.08850609635757899,0.065769
365,1,Aalen-Johansen,3,-0.001642,0,0.001642
730,1,Aalen-Johansen,1,-0.03130127133990479,0.8423187286600952,0.87362
730,1,Aalen-Johansen,2,0.03566392705873872,0.15471892705873871,0.119055
730,1,Aalen-Johansen,3,-0.0043626557188331345,0.0029623442811668654,0.007325
1095,1,Aalen-Johansen,1,-0.028584087032222594,0.7816819129677774,0.810266
1095,1,Aalen-Johansen,2,0.03007261132447181,0.2038876113244718,0.173815
1095,1,Aalen-Johansen,3,-0.0014885242922487787,0.01443047570775122,0.015919
1460,1,Aalen-Johansen,1,-0.00850187204492514,0.7476551279550748,0.756157
1460,1,Aalen-Johansen,2,0.01353839633717438,0.23791439633717437,0.224376
1460,1,Aalen-Johansen,3,-0.005036524292248781,0.01443047570775122,0.019467
1825,1,Aalen-Johansen,1,-0.022585365449481865,0.6834476345505182,0.706033
1825,1,Aalen-Johansen,2,0.030783889741731296,0.3021218897417313,0.271338
1825,1,Aalen-Johansen,3,-0.00819852429224878,0.01443047570775122,0.022629
365,2,Aalen-Johansen,1,1.490989039345525e-4,0.9327380989039346,0.932589
365,2,Aalen-Johansen,2,-0.0029220846546149926,0.062846915345385,0.065769
365,2,Aalen-Johansen,3,0.0027729857506801894,0.00441498575068019,0.001642
730,2,Aalen-Johansen,1,0.003582361379841581,0.8772023613798415,0.87362
730,2,Aalen-Johansen,2,-0.011677754409419455,0.10737724559058054,0.119055
730,2,Aalen-Johansen,3,0.008095393029577893,0.015420393029577893,0.007325
1095,2,Aalen-Johansen,1,-0.014144402840569503,0.7961215971594305,0.810266
1095,2,Aalen-Johansen,2,0.003531349102165904,0.1773463491021659,0.173815
1095,2,Aalen-Johansen,3,0.010613053738403232,0.02653205373840323,0.015919
1460,2,Aalen-Johansen,1,-0.025967542529578447,0.7301894574704215,0.756157
1460,2,Aalen-Johansen,2,0.018902488791174787,0.24327848879117478,0.224376
1460,2,Aalen-Johansen,3,0.007065053738403229,0.02653205373840323,0.019467
1825,2,Aalen-Johansen,1,-0.026298820875639728,0.6797341791243603,0.706033
1825,2,Aalen-Johansen,2,0.022395767137235956,0.293733767137236,0.271338
1825,2,Aalen-Johansen,3,0.003903053738403231,0.02653205373840323,0.022629
365,3,Aalen-Johansen,1,-0.008597777121627237,0.9239912228783728,0.932589
365,3,Aalen-Johansen,2,0.003864208031575181,0.06963320803157518,0.065769
365,3,Aalen-Johansen,3,0.004733569090051764,0.006375569090051764,0.001642
730,3,Aalen-Johansen,1,-0.003277483500381151,0.8703425164996188,0.87362
730,3,Aalen-Johansen,2,-0.0070576506554514,0.1119973493445486,0.119055
730,3,Aalen-Johansen,3,0.010335134155832077,0.017660134155832077,0.007325
1095,3,Aalen-Johansen,1,-0.006044882241995508,0.8042211177580045,0.810266
1095,3,Aalen-Johansen,2,-0.017237924058794957,0.15657707594120504,0.173815
1095,3,Aalen-Johansen,3,0.023282806300790142,0.03920180630079014,0.015919
1460,3,Aalen-Johansen,1,-0.02565656408438055,0.7305004359156194,0.756157
1460,3,Aalen-Johansen,2,0.0011905599091715235,0.22556655990917152,0.224376
1460,3,Aalen-Johansen,3,0.024466004175208774,0.043933004175208776,0.019467
1825,3,Aalen-Johansen,1,-0.01384288809946943,0.6921901119005306,0.706033
1825,3,Aalen-Johansen,2,-0.007461116075739793,0.26387688392426023,0.271338
